name
UNH
JNJ
LLY
PFE
ABBV
NVO
MRK
TMO
DHR
AZN
ABT
NVS
BMY
CVS
AMGN
MDT
ELV
SNY
CI
SYK
GILD
REGN
ISRG
ZTS
BDX
VRTX
GSK
BSX
HCA
EW
HUM
MRNA
MCK
CNC
TAK
A
IQV
BNTX
DXCM
RMD
ALC
ILMN
WBA
BAX
BIIB
IDXX
ABC
HLN
RPRX
MTD
VEEV
SGEN
ALNY
ZBH
GMAB
WST
ARGX
STE
LH
MOH
ALGN
PODD
CAH
WAT
PKI
HOLX
ICLR
CTLT
BGNE
BMRN
INCY
PHG
COO
HZNP
DGX
BIO
RGEN
TECH
ABMD
VTRS
TFX
SNN
BHVN
SWAV
CRL
QGEN
AGL
NBIX
UTHR
TEVA
FMS
HSIC
JAZZ
SRPT
NVCR
RDY
RCM
SGFY
CHNG
DVA
