name
NVO
VRTX
REGN
MRNA
BNTX
RPRX
SGEN
ALNY
GMAB
ARGX
BGNE
BMRN
INCY
TECH
BHVN
UTHR
JAZZ
SRPT
LEGN
APLS
IONS
EXEL
HALO
MRVI
CYTK
ASND
GBT
MRTX
BPMC
ARWR
PTCT
BEAM
CCXI
DNLI
RARE
GLPG
ABCM
VIR
ABCL
INSM
ACAD
BCRX
NVAX
RXDX
ARVN
IMCR
VERV
ALLO
RVMD
RCUS
RXRX
DAWN
AGIO
LYEL
MYOV
PCVX
BBIO
BLU
ARQT
SNDX
GOSS
SWTX
KDNY
ENTA
RGNX
PRTA
ADPT
SANA
IMGN
MDGL
DSGN
FGEN
NGM
EXAI
ISEE
VTYX
CRNX
ERAS
COGT
AMLX
EDIT
VALN
PLRX
KURA
QURE
REPL
INVA
RLMD
SGMO
ALEC
IGMS
NUVL
ACLX
KNSA
ZEAL
BCYC
MRSN
AVXL
ALVR
ANAB
YMAB
TCDA
NKTX
TIL
KZR
MCRB
KNTE
GTHX
IMVT
IPSC
PMVP
AVIR
CGEM
CRBU
STOK
DYN
SEER
TSVT
ALXO
EWTX
RPTX
ICPT
BLUE
ADCT
IMGO
CCCC
CALT
AKRO
SRRK
HLVX
CDXS
KPTI
ZYME
TARS
MGTX
GLUE
RLYB
IDYA
PRLD
BMEA
PHAT
GBIO
PHVS
TYRA
ANNX
THRX
FDMT
MIST
OPT
VYGR
ANTX
VIGL
ABOS
VECT
PEPG
HOWL
VOR
KMPH
MOLN
OYST
SCPH
RAIN
ANVS
